product_id,product_name,product_description,price_usd,stock_status,brand_name,category,main_image,product_url,upc_code,color,size,rating,review_count,weight_lb,manufacturer,warranty_months
SKU101,Wireless Earbuds,,79.99,in_stock,TechSound,Electronics,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=800,https://example.com/products/earbuds-101,,,Black,One Size,4.2,456,0.1,TechSound Ltd.,12
SKU102,Cotton Hoodie,Basic hoodie,INVALID,in_stock,ComfyWear,Apparel,broken-image-url.jpg,https://example.com/products/hoodie-102,111222333444,Gray,Large,3.8,89,1.2,ComfyWear Inc.,6
SKU103,Travel Backpack,"Durable backpack for daily commute and travel.",45.00,,UrbanGear,Accessories,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=800,https://example.com/products/backpack-103,222333444555,Black,30L,4.5,234,2.1,,12
SKU104,,,29.99,in_stock,HomeBasics,Home & Kitchen,https://images.unsplash.com/photo-1484154218962-a197022b5858?w=800,https://example.com/products/cutting-board-104,333444555666,Bamboo,Medium,4.6,567,1.5,HomeBasics Corp.,0
SKU105,Bluetooth Speaker,Portable speaker,89.99,available,AudioMax,Electronics,,https://example.com/products/speaker-105,444555666777,Blue,Medium,4.4,1234,1.8,AudioMax Industries,18
SKU106,Running Shorts,"Lightweight athletic shorts",24.99,in_stock,ActiveFit,Apparel,https://images.unsplash.com/photo-1591195853828-11db59a44f6b?w=800,,555666777888,Navy,Medium,4.1,123,0.4,ActiveFit Sports,6
SKU107,Stainless Steel Pan,"Professional cookware",,-1,ChefPro,Home & Kitchen,https://images.unsplash.com/photo-1556909212-d5b604d0c90d?w=800,https://example.com/products/pan-107,666777888999,Silver,10 inch,4.7,890,3.2,ChefPro Manufacturing,24
SKU108,Desk Organizer,Bamboo desk organizer for office supplies,19.99,in_stock,,Office,https://images.unsplash.com/photo-1611596228030-c2f6d81e1e8a?w=800,https://example.com/products/organizer-108,777888999000,Natural,Small,4.3,345,0.8,OfficePro LLC,0
SKU109,Phone Case,,,in_stock,TechGuard,Accessories,https://images.unsplash.com/photo-1601784551446-20c9e07cdbdb?w=800,https://example.com/products/case-109,888999000111,Clear,iPhone 15,4.0,678,0.1,TechGuard Inc.,12
SKU110,Protein Shaker,Leak-proof shaker bottle,12.99,in_stock,FitLife,Health & Wellness,https://images.unsplash.com/photo-1610440042657-612c75d122b9?w=800,https://example.com/products/shaker-110,999000111222,Black,28oz,-1,234,0.5,FitLife Products,6
