product_id,product_name,product_description,price_usd,stock_status,brand_name,category,main_image,product_url,upc_code,color,size,rating,review_count,weight_lb,manufacturer,warranty_months
SKU201,Ceramic Mug,Coffee mug,12.99,in_stock,HomeBrew,Home & Kitchen,https://images.unsplash.com/photo-1514228742587-6b1558fcca3d?w=800,https://example.com/products/mug-201,001122334455,White,12oz,4.2,145,0.8,HomeBrew Ceramics,0
SKU202,Laptop Stand,Metal stand,34.99,in_stock,DeskMate,Office,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=800,https://example.com/products/stand-202,112233445566,Silver,One Size,4.5,289,2.3,DeskMate Products,12
SKU203,Canvas Tote Bag,Reusable bag,18.99,in_stock,EcoBag,Accessories,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=800,https://example.com/products/tote-203,223344556677,Natural,Large,4.0,78,0.6,EcoBag Co.,0
SKU204,LED Bulb,Energy saver,8.99,in_stock,BrightLife,Home & Garden,https://images.unsplash.com/photo-1602530062123-f0ae9a5a1e0d?w=800,https://example.com/products/bulb-204,334455667788,Warm White,60W equivalent,4.3,456,0.2,BrightLife Lighting,24
SKU205,Resistance Bands,Exercise bands,24.99,in_stock,FitZone,Sports & Outdoors,https://images.unsplash.com/photo-1598289431512-b97b0917affc?w=800,https://example.com/products/bands-205,445566778899,Multi-color,Set of 5,4.4,234,1.1,FitZone Equipment,6
SKU206,Bamboo Cutting Board,Kitchen board,29.99,in_stock,ChefStyle,Home & Kitchen,https://images.unsplash.com/photo-1594718027010-5eb3813c0193?w=800,https://example.com/products/board-206,556677889900,Natural,Large,4.6,567,2.4,ChefStyle Kitchenware,12
SKU207,USB Cable,Charging cable,9.99,in_stock,ConnectPro,Electronics,https://images.unsplash.com/photo-1585776245991-cf89dd7fc73a?w=800,https://example.com/products/cable-207,667788990011,Black,6 feet,4.1,890,0.1,ConnectPro Tech,12
SKU208,Garden Gloves,Work gloves,14.99,in_stock,GreenThumb,Home & Garden,https://images.unsplash.com/photo-1617576683096-00fc8eecb3af?w=800,https://example.com/products/gloves-208,778899001122,Green,Medium,4.2,123,0.3,GreenThumb Supplies,0
SKU209,Notebook Set,Paper notebooks,16.99,in_stock,WriteWell,Office,https://images.unsplash.com/photo-1517842536343-276d51780704?w=800,https://example.com/products/notebooks-209,889900112233,Assorted,A5,4.0,234,1.2,WriteWell Stationery,0
SKU210,Car Phone Mount,Phone holder,19.99,in_stock,DriveEasy,Accessories,https://images.unsplash.com/photo-1519558260268-cde7e03a0152?w=800,https://example.com/products/mount-210,990011223344,Black,Universal,4.3,456,0.4,DriveEasy Auto,12
SKU211,Hair Dryer,Electric dryer,39.99,in_stock,StylePro,Personal Care,https://images.unsplash.com/photo-1522338140262-f46f5913618a?w=800,https://example.com/products/dryer-211,001122334466,Black,One Size,4.4,678,1.5,StylePro Beauty,18
SKU212,Spice Rack,Kitchen organizer,32.99,in_stock,OrganizeIt,Home & Kitchen,https://images.unsplash.com/photo-1607623814075-e51df1bdc82f?w=800,https://example.com/products/rack-212,112233445577,Stainless Steel,20 Jars,4.5,234,3.1,OrganizeIt Home,12
SKU213,Dog Leash,Pet leash,15.99,in_stock,PetPal,Pet Supplies,https://images.unsplash.com/photo-1548611635-b6e7827a0b3f?w=800,https://example.com/products/leash-213,223344556688,Red,6 feet,4.2,189,0.3,PetPal Products,6
SKU214,Floor Mat,Yoga mat,22.99,in_stock,FlexFit,Sports & Outdoors,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=800,https://example.com/products/mat-214,334455667799,Blue,Standard,3.9,145,1.8,FlexFit Gear,3
SKU215,Wall Clock,Round clock,27.99,in_stock,TimeKeeper,Home Decor,https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?w=800,https://example.com/products/clock-215,445566778800,Black,12 inch,4.3,234,1.2,TimeKeeper Inc.,12
