product_id,product_name,product_description,price_usd,stock_status,brand_name,category,main_image,product_url,upc_code,color,size,rating,review_count,weight_lb,manufacturer,warranty_months
SKU001,Wireless Bluetooth Headphones,"Premium over-ear headphones with active noise cancellation, 30-hour battery life, and superior sound quality. Perfect for travel and daily commute.",149.99,in_stock,SoundWave,Electronics,https://example.com/images/headphones-black.jpg,https://example.com/products/headphones-001,012345678901,Black,One Size,4.5,2847,0.7,SoundWave Electronics Inc.,24
SKU002,Organic Cotton T-Shirt,"Soft and breathable 100% organic cotton t-shirt. Eco-friendly and comfortable for everyday wear. Available in multiple colors.",24.99,in_stock,EcoThreads,Apparel,https://example.com/images/tshirt-blue.jpg,https://example.com/products/tshirt-002,098765432109,Navy Blue,Medium,4.2,156,0.3,EcoThreads Manufacturing,6
SKU003,Stainless Steel Water Bottle,"Insulated 32oz water bottle keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and dishwasher safe.",32.50,in_stock,HydroLife,Home & Kitchen,https://example.com/images/bottle-silver.jpg,https://example.com/products/bottle-003,123456789012,Silver,32oz,4.8,5632,0.9,HydroLife Corp.,12
SKU004,Smart Fitness Watch,"Track your fitness goals with heart rate monitoring, GPS, sleep tracking, and smartphone notifications. Water-resistant up to 50m.",199.99,in_stock,FitTech,Electronics,https://example.com/images/watch-black.jpg,https://example.com/products/watch-004,234567890123,Black,One Size,4.6,3421,0.2,FitTech Industries,12
SKU005,Leather Messenger Bag,"Handcrafted genuine leather messenger bag with padded laptop compartment (fits up to 15 inch). Professional and durable.",129.99,in_stock,UrbanCarry,Accessories,https://example.com/images/bag-brown.jpg,https://example.com/products/bag-005,345678901234,Brown,Large,4.7,892,2.3,UrbanCarry Leather Goods,24
SKU006,Yoga Mat Premium,"6mm thick eco-friendly yoga mat with excellent grip and cushioning. Includes carrying strap. Non-slip texture on both sides.",45.00,in_stock,ZenFit,Sports & Outdoors,https://example.com/images/yoga-mat-purple.jpg,https://example.com/products/yoga-mat-006,456789012345,Purple,72x24 inches,4.4,1247,2.1,ZenFit LLC,6
SKU007,Espresso Coffee Maker,"Professional-grade espresso machine with 15-bar pressure pump, milk frother, and programmable settings. Makes barista-quality coffee at home.",299.99,low_stock,BrewMaster,Home & Kitchen,https://example.com/images/espresso-maker.jpg,https://example.com/products/espresso-007,567890123456,Stainless Steel,One Size,4.9,4156,12.5,BrewMaster Appliances,24
SKU008,Running Shoes Lightweight,"Ultra-lightweight running shoes with responsive cushioning and breathable mesh upper. Ideal for marathon training and daily runs.",89.99,in_stock,SpeedRun,Footwear,https://example.com/images/shoes-white.jpg,https://example.com/products/shoes-008,678901234567,White/Blue,10 US Men,4.3,2103,1.2,SpeedRun Athletic,6
SKU009,Desk Lamp LED,"Adjustable LED desk lamp with touch controls, USB charging port, and 5 brightness levels. Eye-caring technology reduces strain.",39.99,in_stock,BrightWork,Home & Office,https://example.com/images/desk-lamp-white.jpg,https://example.com/products/lamp-009,789012345678,White,Adjustable,4.5,987,1.8,BrightWork Lighting,12
SKU010,Gaming Mouse Wireless,"Ergonomic wireless gaming mouse with 16000 DPI sensor, programmable buttons, and RGB lighting. 70-hour battery life.",59.99,in_stock,GamePro,Electronics,https://example.com/images/mouse-black.jpg,https://example.com/products/mouse-010,890123456789,Black,One Size,4.6,3564,0.4,GamePro Peripherals,18
SKU011,Ceramic Plant Pot Set,"Set of 3 modern ceramic plant pots with drainage holes and saucers. Perfect for succulents and small indoor plants.",28.99,in_stock,GreenHome,Home & Garden,https://example.com/images/plant-pots.jpg,https://example.com/products/pots-011,901234567890,White,Small/Medium/Large,4.1,423,3.2,GreenHome Decor,0
SKU012,Protein Powder Vanilla,"Whey protein isolate with 25g protein per serving. Low carb, gluten-free. Great for post-workout recovery. 2lb container.",49.99,in_stock,NutriPro,Health & Wellness,https://example.com/images/protein-vanilla.jpg,https://example.com/products/protein-012,012345678902,Vanilla,2lb,4.4,1876,2.2,NutriPro Supplements,0
SKU013,Portable Phone Charger,"20000mAh power bank with fast charging support. Charge multiple devices simultaneously. Compact and travel-friendly.",34.99,out_of_stock,ChargePlus,Electronics,https://example.com/images/charger-black.jpg,https://example.com/products/charger-013,123456789013,Black,One Size,4.3,2341,0.8,ChargePlus Tech,12
SKU014,Kitchen Knife Set,"Professional 7-piece kitchen knife set with ergonomic handles and protective sheaths. Includes chef, bread, utility, and paring knives.",79.99,in_stock,CutMaster,Home & Kitchen,https://example.com/images/knife-set.jpg,https://example.com/products/knives-014,234567890124,Silver,7-piece,4.7,1654,3.5,CutMaster Culinary,12
SKU015,Sunglasses Polarized,"Polarized sunglasses with UV400 protection and lightweight frame. Stylish and protective for outdoor activities.",44.99,in_stock,SunShield,Accessories,https://example.com/images/sunglasses-black.jpg,https://example.com/products/sunglasses-015,345678901235,Black,One Size,4.2,765,0.1,SunShield Eyewear,6
